60	83	0.0172
60	103	0.0172
60	138	0.0172
60	172	0.0172
60	193	0.0172
80	41	0.0172
80	83	0.0172
80	103	0.0172
80	138	0.0172
80	158	0.0172
80	172	0.0172
80	213	0.0172
80	94.9	0.171
80.1	99.4	0.171
80.2	41.3	0.171
80.2	60.2	0.171
80.2	60.7	0.171
80.3	40.4	0.171
80.3	80.4	0.171
80.5	80.5	0.171
60	41	0.172
60	83	0.172
60	138	0.172
60	158	0.172
60	172	0.172
60	193	0.172
80	41	0.172
80	83	0.172
80	138	0.172
80	172	0.172
80	213	0.172
100	48	1
49.95	51	1
49.95	100.3	1
49.95	143.8	1
50.05	50	1
50.05	100	1
50	150	1
50.05	150	1
50.05	200	1
50.05	300	1
99.95	50.7	1
99.95	104	1
99.95	191.4	1
100.05	50	1
100.05	100	1
100.05	150	1
100	150	1
100.05	200	1
100.05	300	1
40.16	38.44	2.5
40.16	51.37	2.5
40.16	63.73	2.5
40.16	77.89	2.5
40.16	91.29	2.5
50	57.39	2.5
50	87.3	2.5
50	117.73	2.5
50	150.2	2.5
50	182.11	2.5
79.92	40.82	2.5
79.92	52.21	2.5
79.92	64.7	2.5
79.92	76.79	2.5
79.92	100.61	2.5
100	57.42	2.5
100	87.89	2.5
100	118.67	2.5
100	149.21	2.5
100	180.13	2.5
40.23	40.27	4
40.23	59.78	4
40.23	73.78	4
40.23	81.22	4
40.23	90.61	4
50	150	4
50	59.54	4
50	89.53	4
50	120.17	4
50	149.59	4
50	179.54	4
100	150	4
100	60.68	4
100	89.16	4
100	120.03	4
100	149.24	4
100	181.62	4
50	150	5
50.05	50	5
50.05	100	5
50.05	150	5
50.05	200	5
50.05	300	5
100	150	5
100.05	50	5
100.05	100	5
100.05	150	5
100.05	200	5
100.05	300	5
50	150	6
100	150	6
